EmployeeId,RequestId,Skills,MandotaroySkilss,AvlDate,RequestStartDate,AllocationEndDate,PreviousCustomerExperiance,CustomerName,DomainExperiance,ProjectDomain,ProjectKey,NAGP,Rating,IsKeyProject,IsKeyPosition,ResourceExp,RequiredExp,cost1,cost2,score
759,498,java-expert+java-intermediate+java-beginner,java-expert,4/30/2016 12:00:00 AM,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,erste,customer analytics,bfsi,,rci,True,a,False,True,10,8,870,870,1.3
592,2756,java-expert+java-intermediate+java-beginner,java-expert,5/15/2016 12:00:00 AM,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,lufthansa,lufthansa,aviation,publishing,erd,True,a,True,True,11,10,835,835,1.65
561,2205,java-expert+java-intermediate+java-beginner,java-intermediate,5/16/2016 12:00:00 AM,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,True,a,True,False,11,5,870,870,1.3
150,515,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,10,6,900,900,1
634,2585,java-expert+java-intermediate+java-beginner,java-beginner,6/28/2016 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,False,11,1,870,870,1.3
812,2053,java-expert+java-intermediate+java-beginner,java-beginner,6/28/2016 12:00:00 AM,7/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,erste,ifs bank,bfsi,bfsi,onb,True,a,True,False,10,4,870,870,1.3
155,2751,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,10,6,900,900,1
715,756,java-expert+java-intermediate+java-beginner,java-expert,6/28/2016 12:00:00 AM,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,lufthansa,lufthansa,aviation,publishing,erd,True,a,True,True,11,10,835,835,1.65
229,2752,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,netent,customer analytics,gaming,,oan,True,a,False,False,15,4,915,915,0.85
153,505,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,10,6,900,900,1
