EmployeeId,RequestId,Skills,MandotaroySkilss,AvlDate,RequestStartDate,AllocationEndDate,PreviousCustomerExperiance,CustomerName,DomainExperiance,ProjectDomain,ProjectKey,NAGP,Rating,IsKeyProject,IsKeyPosition,cost1,cost2,score
112,534,java-expert+ oracle-expert+java-intermediate+java-beginner+ oracle-intermediate+ oracle-beginner,java-expert+ oracle-expert,12/2/2016 12:00:00 AM,7/3/2016 12:00:00 AM,12/1/2016 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a+,True,True,1000,1000,0
457,7,java-expert+java-intermediate+java-beginner,android-expert,4/29/2016 12:00:00 AM,5/1/2016 12:00:00 AM,1/1/2017 12:00:00 AM,landmark,ifs bank,ecommerce,bfsi,onb,False,b+,True,False,1000,1000,0
759,498,java-expert+java-intermediate+java-beginner,java-expert,2/2/2017 12:00:00 AM,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,erste,customer analytics,bfsi,,rci,True,a,False,True,1000,1000,0
592,756,java-expert+java-intermediate+java-beginner,java-expert,4/1/2017 12:00:00 AM,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,lufthansa,lufthansa,aviation,publishing,erd,True,a,True,True,1000,1000,0
561,205,java-expert+java-intermediate+java-beginner,java-intermediate,6/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,True,a,True,False,1000,1000,0
150,505,java-expert+java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,1000,1000,0
634,103,java-expert+java-intermediate+java-beginner,java-expert,1/1/2017 12:00:00 AM,7/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,True,a,True,True,1000,1000,0
531,922,java-expert+java-intermediate+java-beginner,.net-intermediate+ sharepoint-intermediate,6/28/2016 12:00:00 AM,12/1/2016 12:00:00 AM,6/1/2017 12:00:00 AM,lufthansa,ge,,,wpe,False,b+,True,False,1000,1000,0
424,599,java-expert+java-intermediate+java-beginner,.net-beginner+ wpf-beginner,6/28/2016 12:00:00 AM,1/1/2016 12:00:00 AM,2/10/2018 12:00:00 AM,,aviation solutions,,,mfr,False,b+,True,False,1000,1000,0
812,497,java-expert+java-intermediate+java-beginner,java-expert,10/2/2016 12:00:00 AM,7/1/2016 12:00:00 AM,10/1/2016 12:00:00 AM,erste,customer analytics,bfsi,,rci,True,a,False,True,1000,1000,0
202,789,java-expert+java-intermediate+java-beginner,java-beginner+ mongodb-beginner,6/28/2016 12:00:00 AM,10/1/2016 12:00:00 AM,4/1/2017 12:00:00 AM,netent,nagarro,gaming,,san,True,a+,False,False,1000,1000,0
155,808,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,1000,1000,0
715,535,java-expert+java-intermediate+java-beginner,java-expert,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,True,1000,1000,0
229,428,java-expert+java-intermediate+java-beginner,.net-beginner+ sharepoint-beginner,6/28/2016 12:00:00 AM,6/15/2016 12:00:00 AM,9/30/2016 12:00:00 AM,netent,aviation solutions,gaming,,cdm,True,a,False,False,1000,1000,0
153,814,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,1000,1000,0
255,69,java-expert+java-intermediate+java-beginner,java-expert,12/2/2017 12:00:00 AM,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,netent,nagarro,gaming,gaming,mre,True,a,True,True,1000,1000,0
710,206,java-expert+java-intermediate+java-beginner,java-intermediate,6/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,True,a,True,False,1000,1000,0
454,130,java-expert+java-intermediate+java-beginner,.net-intermediate+ wpf-intermediate,6/30/2016 12:00:00 AM,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,lufthansa,ge,,industrial automation,inf,False,b+,True,False,1000,1000,0
152,516,java-expert+java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,1000,1000,0
834,748,java-expert+java-intermediate+java-beginner,java-expert,1/1/2017 12:00:00 AM,7/22/2016 12:00:00 AM,12/31/2016 12:00:00 AM,icici,customer analytics,bfsi,,oan,True,a,False,True,1000,1000,0
445,337,java-expert+java-intermediate+java-beginner,.net-beginner+ sharepoint-beginner,8/1/2016 12:00:00 AM,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,lufthansa,sne,,,wms,False,b+,False,False,1000,1000,0
506,97,java-expert+java-intermediate+java-beginner,android-intermediate,8/13/2016 12:00:00 AM,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,False,b+,True,False,1000,1000,0
760,522,java-expert+java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,ifs bank,customer analytics,bfsi,,rci,True,a,False,False,1000,1000,0
258,327,java-expert+java-intermediate+java-beginner,.net-intermediate+ sharepoint-intermediate,9/25/2016 12:00:00 AM,1/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,netent,sne,gaming,,wms,True,a,False,False,1000,1000,0
783,749,java-expert+java-intermediate+java-beginner,java-expert,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,ifs bank,customer analytics,bfsi,,oan,True,a+,False,True,1000,1000,0
242,425,java-expert+java-intermediate+java-beginner,.net-intermediate+ sharepoint-beginner,12/31/2016 12:00:00 AM,6/15/2016 12:00:00 AM,9/30/2016 12:00:00 AM,netent,aviation solutions,gaming,,cdm,True,a,False,False,1000,1000,0
142,677,java-expert+java-intermediate+java-beginner,java-expert+ mongodb-expert,12/31/2016 12:00:00 AM,7/15/2016 12:00:00 AM,8/31/2016 12:00:00 AM,,nagarro,ecommerce,,sne,False,b+,False,True,1000,1000,0
233,268,java-expert+java-intermediate+java-beginner,java-expert,12/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,netent,nagarro,gaming,gaming,mre,True,a,True,True,1000,1000,0
803,790,java-expert+java-intermediate+java-beginner,java-beginner+ mongodb-beginner,12/31/2016 12:00:00 AM,10/1/2016 12:00:00 AM,4/1/2017 12:00:00 AM,lufthansa,nagarro,,,san,False,b+,False,False,1000,1000,0
825,78,java-expert+java-intermediate+java-beginner,java-beginner,12/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,ifs bank,ifs bank,bfsi,bfsi,onb,True,a,True,False,1000,1000,0
1133,515,java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,bmw,customer analytics,bfsi,,rci,False,a,False,False,1000,1000,0
2001,178,java-intermediate+java-beginner,java-intermediate,6/2/2017 12:00:00 AM,1/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,,aviation solutions,bfsi,aviation,fci,True,a+,True,True,1000,1000,0
1970,264,java-intermediate+java-beginner,java-intermediate,12/2/2017 12:00:00 AM,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,,nagarro,gaming,gaming,mre,False,b+,True,False,1000,1000,0
1156,98,java-intermediate+java-beginner,android-intermediate,10/1/2016 12:00:00 AM,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,,aviation solutions,gaming,aviation,fci,False,b,True,False,1000,1000,0
1881,272,java-intermediate+java-beginner,java-intermediate,12/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,,nagarro,gaming,gaming,mre,False,a+,True,False,1000,1000,0
