EmployeeId,RequestId,Skills,MandotaroySkilss,AvlDate,RequestStartDate,AllocationEndDate,PreviousCustomerExperiance,CustomerName,DomainExperiance,ProjectDomain,ProjectKey,NAGP,Rating,IsKeyProject,IsKeyPosition,ResourceExp,RequiredExp,cost1,cost2,score
112,534,java-expert+java-intermediate+java-beginner+oracle-expert+oracle-intermediate+oracle-beginner,java-expert+oracle-expert,3/31/2015 12:00:00 AM,7/3/2016 12:00:00 AM,12/1/2016 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a+,True,True,25,15,850,850,1.5
759,2017,java-expert+java-intermediate+java-beginner,java-beginner,4/30/2016 12:00:00 AM,7/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,erste,ifs bank,bfsi,bfsi,onb,True,a,True,False,10,4,870,870,1.3
592,2756,java-expert+java-intermediate+java-beginner,java-expert,5/15/2016 12:00:00 AM,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,lufthansa,lufthansa,aviation,publishing,erd,True,a,True,True,11,10,835,835,1.65
561,2535,java-expert+java-intermediate+java-beginner,java-expert,5/16/2016 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,True,11,10,815,815,1.85
150,2500,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,10,6,900,900,1
634,756,java-expert+java-intermediate+java-beginner,java-expert,6/28/2016 12:00:00 AM,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,lufthansa,lufthansa,aviation,publishing,erd,True,a,True,True,11,10,835,835,1.65
812,17,java-expert+java-intermediate+java-beginner,java-beginner,6/28/2016 12:00:00 AM,7/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,erste,ifs bank,bfsi,bfsi,onb,True,a,True,False,10,4,870,870,1.3
202,2069,java-expert+java-intermediate+java-beginner,java-expert,6/28/2016 12:00:00 AM,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,netent,nagarro,gaming,gaming,mre,True,a+,True,True,17,8,875,875,1.25
155,2515,java-expert+java-intermediate+java-beginner,java-intermediate,6/28/2016 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,10,6,900,900,1
715,103,java-expert+java-intermediate+java-beginner,java-expert,6/28/2016 12:00:00 AM,7/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,lufthansa,aviation solutions,aviation,aviation,fci,True,a,True,True,11,10,845,845,1.55
