112,java-expert+ oracle-expert+java-intermediate+java-beginner+ oracle-intermediate+ oracle-beginner,3/31/2015 12:00:00 AM,lufthansa,.net-intermediate+sharepoint-intermediate,aviation,,sne,330,wms,wms,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,999,1000,1000
457,java-expert+java-intermediate+java-beginner,4/29/2016 12:00:00 AM,landmark,java-expert,ecommerce,gaming,nagarro,69,mre,mobile re-design,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,747,800,820
759,java-expert+java-intermediate+java-beginner,4/30/2016 12:00:00 AM,erste,java-expert,bfsi,,customer analytics,497,rci,real-time check in,7/1/2016 12:00:00 AM,10/1/2016 12:00:00 AM,178,830,834
592,java-expert+java-intermediate+java-beginner,5/15/2016 12:00:00 AM,lufthansa,java-expert,aviation,gaming,nagarro,268,mre,mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,755,800,814
561,java-expert+java-intermediate+java-beginner,5/16/2016 12:00:00 AM,lufthansa,java-expert,aviation,aviation,aviation solutions,179,fci,mobility solutions for fast check in,1/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,748,800,808
150,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,,java-intermediate,,,customer analytics,750,oan,online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,749,850,858
634,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,lufthansa,java-intermediate,aviation,,customer analytics,499,rci,real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,498,850,860
531,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,lufthansa,java-intermediate,,,customer analytics,514,rci,real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,513,850,854
424,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,,.net-intermediate+sql server-intermediate,,,aviation solutions,13,amt,asset management,6/15/2016 12:00:00 AM,9/15/2016 12:00:00 AM,12,1000,1000
812,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,erste,java-expert,bfsi,,customer analytics,498,rci,real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,259,840,850
202,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,netent,.net-intermediate+sql server-intermediate,gaming,,aviation solutions,15,amt,asset management,6/15/2016 12:00:00 AM,9/15/2016 12:00:00 AM,14,1000,1000
155,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,,java-expert+oracle-expert,,bfsi,ifs bank,27,onb,online banking,7/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,26,1000,1000
715,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,lufthansa,java-expert+oracle-expert,aviation,bfsi,ifs bank,28,onb,online banking,7/1/2016 12:00:00 AM,6/1/2017 12:00:00 AM,27,1000,1000
229,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,netent,java-expert+oracle-expert,gaming,bfsi,ifs bank,29,onb,online banking,7/1/2016 12:00:00 AM,6/1/2017 12:00:00 AM,28,1000,1000
153,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,,java-expert+oracle-expert,,bfsi,ifs bank,30,onb,online banking,7/1/2016 12:00:00 AM,6/1/2017 12:00:00 AM,29,1000,1000
255,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,netent,.net-intermediate+sharepoint-beginner,gaming,,sne,31,uid,ui re-design,1/1/2016 12:00:00 AM,4/1/2017 12:00:00 AM,30,1000,1000
710,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,lufthansa,.net-beginner+sharepoint-beginner,aviation,,sne,32,uid,ui re-design,11/1/2016 12:00:00 AM,4/1/2017 12:00:00 AM,31,1000,1000
